Sequence	Method	Ka	Ks	Ka/Ks	P-Value(Fisher)	Length	S-Sites	N-Sites	Fold-Sites(0:2:4)	Substitutions	S-Substitutions	N-Substitutions	Fold-S-Substitutions(0:2:4)	Fold-N-Substitutions(0:2:4)	Divergence-Time	Substitution-Rate-Ratio(rTC:rAG:rTA:rCG:rTG:rCA/rCA)	GC(1:2:3)	ML-Score	AICc	Akaike-Weight	Model
env	NG	0.0176384	0.177067	0.0996144	1.63024e-021	1464	374.087	1089.91	NA	78	59	19	NA	NA	0.0583762	1:1:1:1:1:1	0.357162(0.384141:0.319228:0.368118)	NA	NA	NA	NA
env	LWL	0.0187931	0.181979	0.103271	1.63727e-025	1464	354.5	1109.5	944.5:247.5:272	78	64.5114	20.8509	16.5:26.5:25	2:2:6	0.0583076	13.6:13.6:1:1:1:1	0.357162(0.384141:0.319228:0.368118)	NA	NA	NA	NA
env	MLWL	0.019392	0.135592	0.143017	3.42752e-018	1464	492.743	971.257	944.5:247.5:272	78	66.812	18.8346	16.5:28.5:25	2:0:6	0.0585018	17.5:17.5:1:1:1:1	0.357162(0.384141:0.319228:0.368118)	NA	NA	NA	NA
env	LPB	0.0211923	0.134928	0.157064	2.51347e-017	1464	478.118	983.892	944.5:247.5:272	78	64.5114	20.8509	16.5:26.5:25	2:2:6	0.0583076	13.6:13.6:1:1:1:1	0.357162(0.384141:0.319228:0.368118)	NA	NA	NA	NA
env	MLPB	0.0195008	0.139356	0.139934	1.33252e-018	1464	479.433	965.84	944.5:247.5:272	78	66.812	18.8346	16.5:28.5:25	2:0:6	0.0585018	17.5:17.5:1:1:1:1	0.357162(0.384141:0.319228:0.368118)	NA	NA	NA	NA
env	GY-HKY	0.0197073	0.149576	0.131755	3.52438e-018	1464	462.112	1001.89	NA	78	60.6696	17.3304	NA	NA	0.0607003	10.2933:10.2933:1:1:1:1	0.357162(0.384141:0.319228:0.368118)	-2268.71	4543.46	NA	HKY
env	YN	0.0194832	0.141635	0.137559	6.85885e-016	1464	471.507	992.493	NA	78	59	19	NA	NA	0.0588244	14.2697:14.2697:1:1:1:1	0.357162(0.384141:0.319228:0.368118)	NA	NA	NA	NA
env	MYN	0.0189657	0.152411	0.124438	2.83673e-017	1464	444.78	1019.22	NA	78	59	19	NA	NA	0.0595079	11.2088:21.0737:1:1:1:1	0.357162(0.384141:0.319228:0.368118)	NA	NA	NA	NA
env	MS	0.0191189	0.167619	0.114061	6.66339e-021	1464	415.114	1048.89	NA	78	60.5494	17.4506	NA	NA	0.0612259	7.11922:20.6327:1:1:1:1	0.357162(0.384141:0.319228:0.368118)	-2261.08	4530.24	0.480173	TN
env	MA	0.0190139	0.166075	0.11449	1.28442e-020	1464	419.742	1044.26	NA	78	60.7081	17.2919	NA	NA	0.0611775	6.43199:18.5891:0.457522:1.26378:0.0102062:1	0.357162(0.384141:0.319228:0.368118)	-2258.71	NA	NA	NA
gag	NG	0.0177855	0.173228	0.102671	3.51141e-018	1284	316.786	967.214	NA	66	49	17	NA	NA	0.0561361	1:1:1:1:1:1	0.564491(0.651515:0.470862:0.571096)	NA	NA	NA	NA
gag	LWL	0.017022	0.19033	0.0894341	5.47409e-025	1284	300.667	983.333	831:228.5:224.5	66	57.2259	16.7383	11.5:13.3333:33.1667	4:1:3	0.0576045	14.5:14.5:1:1:1:1	0.564491(0.651515:0.470862:0.571096)	NA	NA	NA	NA
gag	MLWL	0.0199413	0.135115	0.147588	8.02361e-016	1284	419.561	864.439	831:228.5:224.5	66	56.689	17.2381	11:12.8333:33.1667	4.5:1.5:3	0.0575756	12.6667:12.6667:1:1:1:1	0.564491(0.651515:0.470862:0.571096)	NA	NA	NA	NA
